usage_id,facility_id,district,date,blood_group,units_used,is_spike_day,spike_reason
USG000001,FAC001,Ballari,2025-08-02,O+,2,True,Monsoon peak flood-risk weeks
USG000002,FAC001,Ballari,2025-08-02,A+,5,True,Monsoon peak flood-risk weeks
USG000003,FAC001,Ballari,2025-08-02,AB+,3,True,Monsoon peak flood-risk weeks
USG000004,FAC001,Ballari,2025-08-02,O-,3,True,Monsoon peak flood-risk weeks
USG000005,FAC001,Ballari,2025-08-03,O+,2,True,Monsoon peak flood-risk weeks
USG000006,FAC001,Ballari,2025-08-03,B+,6,True,Monsoon peak flood-risk weeks
USG000007,FAC001,Ballari,2025-08-03,A+,4,True,Monsoon peak flood-risk weeks
USG000008,FAC001,Ballari,2025-08-03,AB-,6,True,Monsoon peak flood-risk weeks
USG000009,FAC001,Ballari,2025-08-05,O+,3,True,Monsoon peak flood-risk weeks
USG000010,FAC001,Ballari,2025-08-06,O-,2,False,No Spike
USG000011,FAC001,Ballari,2025-08-07,B-,1,False,No Spike
USG000012,FAC001,Ballari,2025-08-08,B+,3,False,No Spike
USG000013,FAC001,Ballari,2025-08-12,A-,3,False,No Spike
USG000014,FAC001,Ballari,2025-08-13,B+,3,False,No Spike
USG000015,FAC001,Ballari,2025-08-14,O-,5,True,Local incident spike
USG000016,FAC001,Ballari,2025-08-14,AB-,1,True,Local incident spike
USG000017,FAC001,Ballari,2025-08-15,B+,2,False,No Spike
USG000018,FAC001,Ballari,2025-08-15,A+,4,False,No Spike
USG000019,FAC001,Ballari,2025-08-17,A+,1,False,No Spike
USG000020,FAC001,Ballari,2025-08-18,AB+,2,False,No Spike
USG000021,FAC001,Ballari,2025-08-20,A+,1,False,No Spike
USG000022,FAC001,Ballari,2025-08-20,AB+,3,False,No Spike
USG000023,FAC001,Ballari,2025-08-21,O+,2,False,No Spike
USG000024,FAC001,Ballari,2025-08-21,AB-,1,False,No Spike
USG000025,FAC001,Ballari,2025-08-22,AB-,4,False,No Spike
USG000026,FAC001,Ballari,2025-08-23,O+,4,False,No Spike
USG000027,FAC001,Ballari,2025-08-24,B+,3,False,No Spike
USG000028,FAC001,Ballari,2025-08-24,AB+,1,False,No Spike
USG000029,FAC001,Ballari,2025-08-24,A-,4,False,No Spike
USG000030,FAC001,Ballari,2025-08-25,O+,1,False,No Spike
USG000031,FAC001,Ballari,2025-08-25,A+,1,False,No Spike
USG000032,FAC001,Ballari,2025-08-28,A+,2,False,No Spike
USG000033,FAC001,Ballari,2025-08-28,B-,2,False,No Spike
USG000034,FAC001,Ballari,2025-08-29,O+,3,False,No Spike
USG000035,FAC001,Ballari,2025-08-29,O-,3,False,No Spike
USG000036,FAC001,Ballari,2025-08-31,O-,4,False,No Spike
USG000037,FAC001,Ballari,2025-08-31,B-,3,False,No Spike
USG000038,FAC001,Ballari,2025-09-01,A-,1,False,No Spike
USG000039,FAC001,Ballari,2025-09-02,O+,1,False,No Spike
USG000040,FAC001,Ballari,2025-09-04,B+,2,False,No Spike
USG000041,FAC001,Ballari,2025-09-04,B-,3,False,No Spike
USG000042,FAC001,Ballari,2025-09-05,AB-,4,False,No Spike
USG000043,FAC001,Ballari,2025-09-06,B-,2,False,No Spike
USG000044,FAC001,Ballari,2025-09-07,B+,3,False,No Spike
USG000045,FAC001,Ballari,2025-09-07,AB-,3,False,No Spike
USG000046,FAC001,Ballari,2025-09-08,O+,3,False,No Spike
USG000047,FAC001,Ballari,2025-09-08,B+,4,False,No Spike
USG000048,FAC001,Ballari,2025-09-09,O+,1,False,No Spike
USG000049,FAC001,Ballari,2025-09-09,A+,2,False,No Spike
USG000050,FAC001,Ballari,2025-09-09,O-,3,False,No Spike
USG000051,FAC001,Ballari,2025-09-14,A+,1,False,No Spike
USG000052,FAC001,Ballari,2025-09-15,B-,1,False,No Spike
USG000053,FAC001,Ballari,2025-09-16,O+,5,True,Festival travel peak (Dasara)
USG000054,FAC001,Ballari,2025-09-16,B+,2,True,Festival travel peak (Dasara)
USG000055,FAC001,Ballari,2025-09-18,O+,3,True,Festival travel peak (Dasara)
USG000056,FAC001,Ballari,2025-09-18,B+,6,True,Festival travel peak (Dasara)
USG000057,FAC001,Ballari,2025-09-18,AB+,4,True,Festival travel peak (Dasara)
USG000058,FAC001,Ballari,2025-09-18,B-,3,True,Festival travel peak (Dasara)
USG000059,FAC001,Ballari,2025-09-19,B+,6,True,Festival travel peak (Dasara)
USG000060,FAC001,Ballari,2025-09-19,AB+,6,True,Festival travel peak (Dasara)
USG000061,FAC001,Ballari,2025-09-19,B-,6,True,Festival travel peak (Dasara)
USG000062,FAC001,Ballari,2025-09-20,O+,7,True,Festival travel peak (Dasara)
USG000063,FAC001,Ballari,2025-09-21,B+,5,True,Festival travel peak (Dasara)
USG000064,FAC001,Ballari,2025-09-22,AB+,5,True,Festival travel peak (Dasara)
USG000065,FAC001,Ballari,2025-09-22,A-,6,True,Festival travel peak (Dasara)
USG000066,FAC001,Ballari,2025-09-23,B+,6,True,Festival travel peak (Dasara)
USG000067,FAC001,Ballari,2025-09-23,A+,2,True,Festival travel peak (Dasara)
USG000068,FAC001,Ballari,2025-09-23,AB+,4,True,Festival travel peak (Dasara)
USG000069,FAC001,Ballari,2025-09-23,O-,2,True,Festival travel peak (Dasara)
USG000070,FAC001,Ballari,2025-09-23,AB-,3,True,Festival travel peak (Dasara)
USG000071,FAC001,Ballari,2025-09-24,B+,3,True,Festival travel peak (Dasara)
USG000072,FAC001,Ballari,2025-09-25,O+,4,True,Festival travel peak (Dasara)
USG000073,FAC001,Ballari,2025-09-25,B+,5,True,Festival travel peak (Dasara)
USG000074,FAC001,Ballari,2025-09-26,O+,5,True,Festival travel peak (Dasara)
USG000075,FAC001,Ballari,2025-09-26,A+,1,True,Festival travel peak (Dasara)
USG000076,FAC001,Ballari,2025-09-27,B+,5,True,Festival travel peak (Dasara)
USG000077,FAC001,Ballari,2025-09-29,O+,6,True,Festival travel peak (Dasara)
USG000078,FAC001,Ballari,2025-09-29,O-,4,True,Festival travel peak (Dasara)
USG000079,FAC001,Ballari,2025-09-30,AB+,3,True,Festival travel peak (Dasara)
USG000080,FAC001,Ballari,2025-10-01,AB+,3,True,Festival travel peak (Dasara)
USG000081,FAC001,Ballari,2025-10-02,O+,4,True,Festival travel peak (Dasara)
USG000082,FAC001,Ballari,2025-10-03,B+,6,True,Festival travel peak (Dasara)
USG000083,FAC001,Ballari,2025-10-04,B+,3,True,Festival travel peak (Dasara)
USG000084,FAC001,Ballari,2025-10-05,A-,5,True,Festival travel peak (Dasara)
USG000085,FAC001,Ballari,2025-10-05,B-,5,True,Festival travel peak (Dasara)
USG000086,FAC001,Ballari,2025-10-06,O+,3,True,Festival travel peak (Dasara)
USG000087,FAC001,Ballari,2025-10-06,A+,3,True,Festival travel peak (Dasara)
USG000088,FAC001,Ballari,2025-10-08,B+,3,True,Festival travel peak (Dasara)
USG000089,FAC001,Ballari,2025-10-08,A+,3,True,Festival travel peak (Dasara)
USG000090,FAC001,Ballari,2025-10-08,AB+,2,True,Festival travel peak (Dasara)
USG000091,FAC001,Ballari,2025-10-08,B-,5,True,Festival travel peak (Dasara)
USG000092,FAC001,Ballari,2025-10-10,O-,3,True,Festival travel peak (Dasara)
USG000093,FAC001,Ballari,2025-10-12,AB+,2,False,No Spike
USG000094,FAC001,Ballari,2025-10-13,AB+,2,False,No Spike
USG000095,FAC001,Ballari,2025-10-14,AB+,3,False,No Spike
USG000096,FAC001,Ballari,2025-10-15,A-,1,False,No Spike
USG000097,FAC001,Ballari,2025-10-18,B+,2,False,No Spike
USG000098,FAC001,Ballari,2025-10-18,O-,4,False,No Spike
USG000099,FAC001,Ballari,2025-10-19,B+,2,False,No Spike
USG000100,FAC001,Ballari,2025-10-22,A+,4,False,No Spike
USG000101,FAC001,Ballari,2025-10-23,O+,2,False,No Spike
USG000102,FAC001,Ballari,2025-10-23,O-,4,False,No Spike
USG000103,FAC001,Ballari,2025-10-24,O-,3,False,No Spike
USG000104,FAC001,Ballari,2025-10-27,AB+,1,False,No Spike
USG000105,FAC001,Ballari,2025-10-28,O+,1,False,No Spike
USG000106,FAC001,Ballari,2025-10-28,B-,3,False,No Spike
USG000107,FAC001,Ballari,2025-10-29,A+,4,False,No Spike
USG000108,FAC001,Ballari,2025-10-30,AB-,4,False,No Spike
USG000109,FAC001,Ballari,2025-11-03,O+,4,False,No Spike
USG000110,FAC001,Ballari,2025-11-04,AB-,4,False,No Spike
USG000111,FAC001,Ballari,2025-11-05,O+,3,False,No Spike
USG000112,FAC001,Ballari,2025-11-05,A+,3,False,No Spike
USG000113,FAC001,Ballari,2025-11-07,AB+,2,False,No Spike
USG000114,FAC001,Ballari,2025-11-08,AB+,1,False,No Spike
USG000115,FAC001,Ballari,2025-11-09,A+,2,False,No Spike
USG000116,FAC001,Ballari,2025-11-10,B-,1,False,No Spike
USG000117,FAC001,Ballari,2025-11-11,B+,2,False,No Spike
USG000118,FAC001,Ballari,2025-11-13,O+,4,False,No Spike
USG000119,FAC001,Ballari,2025-11-14,B+,1,False,No Spike
USG000120,FAC001,Ballari,2025-11-15,O+,3,False,No Spike
USG000121,FAC001,Ballari,2025-11-15,A+,2,False,No Spike
USG000122,FAC001,Ballari,2025-11-15,AB+,2,False,No Spike
USG000123,FAC001,Ballari,2025-11-17,B+,3,False,No Spike
USG000124,FAC001,Ballari,2025-11-17,B-,4,False,No Spike
USG000125,FAC001,Ballari,2025-11-18,AB-,3,False,No Spike
USG000126,FAC001,Ballari,2025-11-19,A+,4,False,No Spike
